Date,High,Low,Open,Close,Volume,Adj Close,MTD-15ma,MTD-50ma,MTD-100ma,MTD-200ma
2000-07-21,42.0,41.0,41.25,41.375,94400,41.375,40.70104166666667,39.3078125,39.35203125,38.34118303571429
2000-07-24,42.125,40.875,41.4375,41.5,64000,41.5,40.8,39.3390625,39.38265625,38.3635859929078
2000-07-25,41.75,40.5625,41.75,40.9375,86700,40.9375,40.94166666666667,39.3990625,39.41890625,38.38171214788732
2000-07-26,41.1875,40.375,40.875,41.1875,70900,41.1875,41.170833333333334,39.4840625,39.45765625,38.40133304195804
2000-07-27,41.1875,39.5,41.1875,39.5,65000,39.5,41.2,39.5015625,39.48390625,38.408962673611114
2000-07-28,40.0,37.9375,39.75,39.125,456500,39.125,41.15,39.5515625,39.49015625,38.413900862068964
2000-07-31,40.9375,39.1875,39.1875,40.5,175600,40.5,41.12083333333333,39.6328125,39.52015625,38.42818921232877
2000-08-01,41.8125,40.375,40.625,40.375,117900,40.375,41.00833333333333,39.7415625,39.55390625,38.441432823129254
2000-08-02,41.0,39.875,40.0,41.0,320700,41.0,40.854166666666664,39.8728125,39.58890625,38.458720439189186
2000-08-03,41.125,40.5,40.75,41.125,79000,41.125,40.75833333333333,39.9853125,39.61828125,38.47661493288591
2000-08-04,43.75,40.75,41.3125,43.75,181300,43.75,40.858333333333334,40.1140625,39.67140625,38.51177083333334
2000-08-07,44.0,41.625,43.6875,42.75,211400,42.75,40.94166666666667,40.1978125,39.70640625,38.53983857615894
2000-08-08,43.0,42.25,42.625,42.3125,84100,42.3125,41.045833333333334,40.3040625,39.70328125,38.56465871710526
2000-08-09,43.125,42.5,42.5,43.0,192900,43.0,41.295833333333334,40.3953125,39.70890625,38.59364787581699
2000-08-10,43.6875,42.875,42.9375,43.25,137800,43.25,41.44583333333333,40.4765625,39.71265625,38.62388392857143
2000-08-11,45.625,43.3125,43.3125,45.625,81200,45.625,41.729166666666664,40.5903125,39.73953125,38.66905241935484
2000-08-14,45.625,44.75,45.0,45.5625,77300,45.5625,42.0,40.6940625,39.75015625,38.71324118589744
2000-08-15,46.0,45.125,45.4375,45.8125,105700,45.8125,42.325,40.8153125,39.76765625,38.758459394904456
2000-08-16,46.25,45.1875,45.875,45.4375,182500,45.4375,42.608333333333334,40.9178125,39.80515625,38.80073180379747
2000-08-17,45.875,45.1875,45.5,45.8125,71400,45.8125,43.02916666666667,41.0140625,39.85765625,38.844830974842765
2000-08-18,45.9375,44.125,45.6875,44.8125,125400,44.8125,43.40833333333333,41.0690625,39.91078125,38.88212890625
2000-08-21,46.25,44.625,45.0,44.875,60400,44.875,43.7,41.1303125,39.95453125,38.91935170807454
2000-08-22,46.9375,44.9375,45.0625,46.5625,52100,46.5625,44.1125,41.2153125,40.01515625,38.96653163580247
2000-08-23,46.375,45.125,46.375,45.125,38300,45.125,44.3875,41.2390625,40.05703125,39.00431365030675
2000-08-24,46.75,45.125,45.125,46.3125,46400,46.3125,44.733333333333334,41.3790625,40.11828125,39.048875762195124
2000-08-25,46.375,45.875,46.3125,46.0,124200,46.0,44.88333333333333,41.5278125,40.17828125,39.09100378787879
2000-08-28,46.125,45.5,45.9375,46.125,78100,46.125,45.108333333333334,41.7053125,40.23828125,39.133377259036145
2000-08-29,47.5,46.3125,46.3125,46.9375,38200,46.9375,45.416666666666664,41.9153125,40.30703125,39.180108532934135
2000-08-30,46.75,44.75,46.75,45.625,95900,45.625,45.59166666666667,42.0778125,40.35765625,39.218470982142854
2000-08-31,48.8125,45.625,45.625,47.3125,192700,47.3125,45.8625,42.2653125,40.42890625,39.266364644970416
2000-09-01,48.75,47.5,47.5,48.375,67200,48.375,46.045833333333334,42.4690625,40.51265625,39.31994485294118
2000-09-05,48.375,46.75,48.375,46.8125,113700,46.8125,46.12916666666667,42.6515625,40.57765625,39.36376096491228
2000-09-06,46.875,45.625,46.8125,45.875,119800,45.875,46.13333333333333,42.7778125,40.62703125,39.401617005813954
2000-09-07,46.75,45.75,45.75,46.5625,58700,46.5625,46.208333333333336,42.9190625,40.70515625,39.44300939306358
2000-09-08,46.9375,45.8125,46.9375,45.8125,63600,45.8125,46.208333333333336,43.0353125,40.75953125,39.47961566091954
2000-09-11,47.25,45.5,45.6875,46.8125,336400,46.8125,46.34166666666667,43.1803125,40.80078125,39.521517857142854
2000-09-12,46.9375,46.125,46.8125,46.3125,24800,46.3125,46.4375,43.30625,40.82015625,39.56010298295455
2000-09-13,46.75,45.75,46.3125,46.3125,80100,46.3125,46.420833333333334,43.45625,40.84328125,39.59825211864407
2000-09-14,46.375,45.5625,46.375,45.875,126200,45.875,46.47083333333333,43.61875,40.91953125,39.633514747191015
2000-09-15,46.0,45.25,45.875,45.3125,120400,45.3125,46.40416666666667,43.74375,40.93453125,39.665240921787706
